shapeID,shapeName,bps_code,bps_name,match
22746128B81373906315979,Pasuruan,3514,Pasuruan,exact
22746128B37789509782125,Pati,3318,Pati,exact
22746128B30560862468368,Pegunungan Arfak,9112,Pegunungan Arfak,exact
22746128B40289792856685,Pegunungan Bintang,9417,Pegunungan Bintang,exact
22746128B43405552393366,Pekalongan,3326,Pekalongan,exact
22746128B44055596539945,Pelalawan,1404,Pelalawan,exact
22746128B43122306499336,Pemalang,3327,Pemalang,exact
22746128B96540112180119,Penajam Paser Utara,6409,Penajam Paser Utara,exact
22746128B2393542990028,Penukal Abab Lematang Ilir,1612,Penukal Abab Lematang Ilir,exact
22746128B94381737455512,Pesawaran,1809,Pesawaran,exact
22746128B87029922352837,Pesisir Barat,1813,Pesisir Barat,exact
22746128B35993392452682,Pesisir Selatan,1302,Pesisir Selatan,exact
22746128B35853530005037,Pidie,1109,Pidie,exact
22746128B77747107542596,Pidie Jaya,1118,Pidie Jaya,exact
22746128B71783882222616,Pinrang,7315,Pinrang,exact
22746128B36723886609479,Pohuwato,7503,Pohuwato,exact
22746128B50766380968306,Polewali Mandar,7602,Polewali Mandar,exact
22746128B39928875112308,Ponorogo,3502,Ponorogo,exact
22746128B71918225941207,Poso,7204,Poso,exact
22746128B80903663444835,Pringsewu,1810,Pringsewu,exact
22746128B57336658570108,Probolinggo,3513,Probolinggo,exact
22746128B75083695068268,Pulang Pisau,6210,Pulang Pisau,exact
22746128B67952855762127,Pulau Morotai,8207,Pulau Morotai,exact
22746128B98781354669228,Pulau Taliabu,8208,Pulau Taliabu,exact
22746128B1222572676249,Puncak,9433,Puncak,exact
22746128B50358350022934,Puncak Jaya,9411,Puncak Jaya,exact
22746128B86887436396051,Purbalingga,3303,Purbalingga,exact
22746128B43709097539954,Purwakarta,3214,Purwakarta,exact
22746128B47019757463267,Purworejo,3306,Purworejo,exact
22746128B90221566890304,Raja Ampat,9108,Raja Ampat,exact
22746128B47928451075254,Rejang Lebong,1702,Rejang Lebong,exact
22746128B94981829239468,Rembang,3317,Rembang,exact
22746128B71759944188311,Rokan Hilir,1409,Rokan Hilir,exact
22746128B35208725321264,Rokan Hulu,1407,Rokan Hulu,exact
22746128B61006797400672,Rote Ndao,5314,Rote Ndao,exact
22746128B67076907647447,Sabu Raijua,5320,Sabu Raijua,exact
22746128B87993072617697,Sambas,6101,Sambas,exact
22746128B81816662901100,Samosir,1217,Samosir,exact
22746128B2542813239591,Sampang,3527,Sampang,exact
22746128B74989070523542,Sanggau,6105,Sanggau,exact
22746128B27261093121909,Sarmi,9419,Sarmi,exact
22746128B44731308508060,Sarolangun,1503,Sarolangun,exact
22746128B16160803458764,Sekadau,6109,Sekadau,exact
22746128B87861638449066,Seluma,1705,Seluma,exact
22746128B46914217687538,Semarang,3322,Semarang,exact
22746128B92585048181027,Seram Bagian Barat,8106,Seram Bagian Barat,exact
22746128B38603798591380,Seram Bagian Timur,8107,Seram Bagian Timur,exact
22746128B3242616561013,Serang,3604,Serang,exact
22746128B52277249956552,Serdang Bedagai,1218,Serdang Bedagai,exact
22746128B10156150641021,Seruyan,6208,Seruyan,exact
22746128B48036345674071,Siak,1405,S I A K,exact
22746128B24839603722983,Siau Tagulandang Biaro,7108,Siau Tagulandang Biaro,exact
22746128B89870320898123,Sidenreng Rappang,7314,Sidenreng Rappang,exact
22746128B7257810863239,Sidoarjo,3515,Sidoarjo,exact
